product_discount_id,product_id,discount_id,start_date,end_date
1,95,8,2020-08-28,2022-03-21
2,66,8,2023-06-23,2023-12-20
3,78,5,2020-11-07,2022-01-27
4,98,7,2020-11-27,2023-06-01
5,90,4,2022-09-15,2024-06-18
6,14,9,2020-12-01,2021-10-23
7,35,9,2021-09-06,2021-10-25
8,63,5,2020-09-19,2021-11-15
9,81,7,2023-01-15,2023-11-18
10,14,2,2022-09-17,2024-04-17
11,64,5,2024-01-01,2024-04-23
12,53,8,2020-06-02,2023-10-17
13,81,10,2024-05-07,2024-06-27
14,75,5,2021-05-10,2022-05-06
15,50,4,2020-02-16,2022-11-10
16,49,5,2021-07-16,2022-03-05
17,37,7,2024-03-06,2024-05-14
18,82,7,2021-04-12,2022-11-02
19,32,1,2022-03-04,2022-12-10
20,52,8,2021-03-19,2022-08-03
21,96,9,2022-12-25,2023-11-17
22,51,3,2021-08-21,2022-01-25
23,89,3,2024-01-29,2024-04-24
24,6,2,2020-06-24,2024-05-05
25,19,2,2022-10-06,2023-11-26
26,86,1,2024-05-09,2024-05-11
27,67,8,2021-08-17,2023-05-06
28,6,7,2022-05-11,2023-07-05
29,23,7,2023-05-30,2023-07-16
30,16,6,2020-08-22,2023-10-17
31,38,9,2022-02-04,2024-03-18
32,11,7,2023-10-08,2024-06-11
33,33,4,2023-11-18,2024-03-22
34,32,5,2022-04-28,2024-05-23
35,53,6,2023-07-09,2023-11-29
36,62,8,2022-05-09,2022-10-22
37,64,2,2023-01-02,2023-06-14
38,36,2,2023-07-29,2024-05-26
39,21,7,2020-05-02,2022-12-24
40,54,4,2020-05-30,2024-02-05
41,84,7,2020-03-13,2023-01-10
42,93,8,2023-12-17,2024-01-06
43,86,9,2020-12-19,2023-10-01
44,99,4,2022-03-25,2023-07-24
45,7,3,2021-07-27,2021-09-09
46,50,5,2021-09-19,2023-11-15
47,83,2,2021-07-15,2021-07-17
48,80,2,2023-10-28,2024-01-26
49,16,1,2020-06-19,2023-09-08
50,29,2,2023-04-08,2023-06-27
