transaction_id,transaction_date,total_money,status,customer_id,order_id
0,2024-10-14,20390000.0,completed,3,0
1,2024-11-06,5229000.0,completed,1,1
2,2024-05-15,5868000.0,completed,1,2
3,2024-08-21,22919700.0,completed,3,3
4,2024-10-31,8191000.0,failed,3,4
5,2024-07-08,9789000.0,refunded,4,5
6,2024-09-13,29478000.0,completed,1,6
7,2024-10-18,5014000.0,failed,4,7
8,2024-10-26,1499100.0,completed,2,8
9,2024-10-28,908000.0,completed,3,9
10,2024-06-17,7124000.0,completed,3,10
11,2024-11-11,7166000.0,refunded,4,11
12,2024-11-11,28476000.0,failed,4,12
13,2024-09-09,9399000.0,completed,3,13
14,2024-10-25,30625000.0,refunded,2,14
15,2024-10-04,12438700.0,completed,2,15
16,2024-10-21,28517000.0,completed,4,16
17,2024-10-23,12275000.0,completed,2,17
18,2024-07-29,27901000.0,completed,2,18
19,2024-09-09,4564000.0,completed,1,19
20,2024-10-30,4016650.0,completed,4,20
21,2024-08-14,11157000.0,completed,4,21
22,2024-10-23,27781000.0,completed,4,22
23,2024-11-11,14993800.0,completed,2,23
24,2024-10-21,5242900.0,completed,1,24
25,2024-10-31,5432000.0,completed,3,25
26,2024-11-07,1555000.0,completed,1,26
27,2024-11-01,10793000.0,completed,1,27
28,2024-10-01,6846000.0,completed,4,28
29,2024-09-30,2997000.0,completed,3,29
30,2024-10-19,1578000.0,refunded,1,30
31,2024-11-06,12788000.0,completed,3,31
32,2024-06-19,2996000.0,completed,4,32
33,2024-10-06,5988000.0,refunded,3,33
34,2024-06-21,3300400.0,completed,4,34
35,2024-10-19,2646000.0,completed,4,35
36,2024-10-20,9125000.0,completed,2,36
37,2024-06-10,1586000.0,completed,2,37
38,2024-11-07,4847000.0,completed,4,38
39,2024-11-11,4023000.0,completed,2,39
40,2024-09-10,23571900.0,failed,3,40
41,2024-10-05,71797000.0,completed,4,41
42,2024-09-11,1394100.0,failed,3,42
43,2024-09-28,11613600.0,completed,3,43
44,2024-10-18,5745000.0,completed,4,44
45,2024-09-20,5739000.0,completed,4,45
46,2024-11-11,338184200.0,completed,1,46
47,2024-04-29,17669000.0,completed,3,47
48,2024-10-22,8876000.0,completed,2,48
49,2024-09-28,5176000.0,completed,4,49
50,2024-06-11,6441000.0,completed,2,50
51,2024-10-09,526000.0,completed,1,51
52,2024-11-05,11583000.0,completed,3,52
53,2024-09-18,42436350.0,completed,1,53
54,2024-11-01,25284000.0,completed,1,54
55,2024-09-30,34529000.0,completed,1,55
56,2024-11-10,8133000.0,completed,2,56
57,2024-11-03,8745000.0,completed,2,57
58,2024-09-02,6031800.0,completed,3,58
59,2024-10-09,6489000.0,completed,3,59
60,2024-08-17,777000.0,completed,1,60
61,2024-10-07,23798000.0,completed,1,61
62,2024-11-10,4746000.0,completed,4,62
63,2024-10-15,3230000.0,completed,4,63
64,2024-05-09,1052000.0,refunded,4,64
65,2024-07-20,820000.0,completed,2,65
66,2024-11-10,4227000.0,completed,1,66
67,2024-10-14,5586000.0,completed,3,67
68,2024-08-16,6392800.0,failed,2,68
69,2024-11-06,6400000.0,completed,2,69
70,2024-11-01,8748000.0,completed,2,70
71,2024-11-11,12993900.0,completed,3,71
72,2024-09-29,7601000.0,completed,3,72
73,2024-11-10,15758000.0,completed,3,73
74,2024-09-17,1268000.0,completed,4,74
75,2024-07-29,1469000.0,completed,3,75
76,2024-10-31,3742200.0,completed,3,76
77,2024-11-03,16688200.0,completed,3,77
78,2024-11-10,1499100.0,completed,4,78
79,2024-10-09,3824000.0,completed,4,79
80,2024-02-29,4541000.0,completed,2,80
81,2024-09-03,23979000.0,refunded,3,81
82,2024-06-20,13624000.0,completed,3,82
83,2024-10-31,76539000.0,completed,1,83
84,2024-11-11,10068000.0,completed,1,84
85,2024-09-28,78629000.0,completed,3,85
86,2024-10-24,8470000.0,completed,2,86
87,2024-10-02,69878950.0,completed,3,87
88,2024-07-28,58451000.0,completed,2,88
89,2024-11-11,21215000.0,completed,1,89
90,2024-11-08,6148000.0,completed,2,90
91,2024-11-11,9318950.0,completed,3,91
92,2024-06-03,6656000.0,completed,4,92
93,2024-10-19,852000.0,completed,2,93
94,2024-10-15,742900.0,completed,3,94
95,2024-11-03,8005000.0,completed,4,95
96,2024-11-04,7960000.0,completed,1,96
97,2024-10-09,8093000.0,refunded,1,97
98,2024-11-10,855000.0,failed,2,98
99,2024-11-10,55433000.0,completed,1,99
100,2024-11-04,4181900.0,completed,4,100
101,2024-10-30,7016000.0,completed,4,101
102,2024-09-29,3574000.0,completed,3,102
103,2024-07-03,8040200.0,completed,1,103
104,2024-10-06,8963000.0,completed,1,104
105,2024-09-02,5478000.0,completed,3,105
106,2024-10-09,37421000.0,completed,4,106
107,2024-11-09,10253250.0,completed,1,107
108,2024-11-02,102344000.0,completed,2,108
109,2024-10-11,4788000.0,completed,1,109
110,2024-11-01,4422000.0,failed,3,110
111,2024-11-06,999000.0,refunded,4,111
112,2024-10-08,6630900.0,completed,1,112
113,2024-10-26,7860000.0,completed,4,113
114,2024-10-29,3690000.0,completed,2,114
115,2024-07-16,7022000.0,completed,1,115
116,2024-11-05,499700.0,completed,4,116
117,2024-09-19,6802000.0,completed,1,117
118,2024-09-10,1962000.0,completed,2,118
119,2024-11-04,6683000.0,completed,4,119
120,2024-10-04,57269000.0,completed,1,120
121,2024-10-31,12564000.0,completed,1,121
122,2024-09-27,7737500.0,completed,2,122
123,2024-11-09,1903500.0,completed,4,123
124,2024-07-24,1863900.0,completed,4,124
125,2024-10-16,40719000.0,failed,2,125
126,2024-07-19,3941000.0,refunded,3,126
127,2024-11-10,3535000.0,completed,2,127
128,2024-11-11,20539000.0,completed,3,128
129,2024-10-02,3949000.0,completed,3,129
130,2024-11-09,5331000.0,refunded,2,130
131,2024-09-15,12555300.0,refunded,3,131
132,2024-11-04,12916000.0,completed,1,132
133,2024-09-02,2882000.0,completed,3,133
134,2024-10-15,15493000.0,completed,4,134
135,2024-04-26,4005000.0,completed,4,135
136,2024-09-18,7941000.0,completed,2,136
137,2024-10-22,8739000.0,completed,2,137
138,2024-11-11,680000.0,completed,1,138
139,2024-10-28,617000.0,completed,3,139
140,2024-08-22,22547000.0,completed,1,140
141,2024-11-08,14754000.0,completed,4,141
142,2024-11-07,6074000.0,completed,1,142
143,2024-10-28,1283000.0,refunded,3,143
144,2024-10-30,32867000.0,completed,1,144
145,2024-09-29,1522000.0,completed,2,145
146,2024-08-11,9644000.0,completed,3,146
147,2024-11-09,5948000.0,completed,2,147
148,2024-10-20,4890000.0,completed,2,148
149,2024-08-28,3124000.0,completed,4,149
150,2024-11-09,996000.0,completed,1,150
151,2024-09-18,1630000.0,completed,1,151
152,2024-02-29,7962900.0,completed,2,152
153,2024-08-31,7633000.0,failed,1,153
154,2024-09-07,3789000.0,refunded,4,154
155,2024-11-07,28000700.0,completed,4,155
156,2024-11-09,2696000.0,completed,1,156
157,2024-07-21,1578000.0,completed,3,157
158,2024-10-20,43694000.0,completed,2,158
159,2024-06-14,5164000.0,completed,3,159
160,2024-09-23,60339000.0,completed,2,160
161,2024-09-19,4426000.0,failed,2,161
162,2024-09-22,4238000.0,completed,4,162
163,2024-11-02,4424000.0,completed,1,163
164,2024-11-09,3035000.0,refunded,2,164
165,2024-09-26,4396000.0,completed,3,165
166,2024-11-11,7112000.0,completed,2,166
167,2024-11-02,52032000.0,completed,3,167
168,2024-10-11,5265000.0,refunded,3,168
169,2024-10-02,8088000.0,completed,2,169
170,2024-09-25,109347000.0,completed,3,170
171,2024-09-10,2824000.0,failed,3,171
172,2024-10-20,3182000.0,refunded,1,172
173,2024-08-05,1052000.0,completed,3,173
174,2024-11-01,3422000.0,completed,4,174
175,2024-11-08,3501000.0,refunded,4,175
176,2024-10-12,44431000.0,completed,1,176
177,2024-10-11,3156000.0,completed,4,177
178,2024-09-14,11738000.0,failed,4,178
179,2024-11-06,3722750.0,completed,1,179
180,2024-11-03,1630000.0,completed,3,180
181,2024-11-07,6325000.0,completed,3,181
182,2024-11-03,3804000.0,completed,1,182
183,2024-10-21,1142000.0,completed,2,183
184,2024-10-12,1322000.0,failed,1,184
185,2024-09-27,5482000.0,completed,2,185
186,2024-10-31,526000.0,failed,1,186
187,2024-11-08,17820000.0,completed,1,187
188,2024-10-07,52106000.0,completed,4,188
189,2024-10-31,21208000.0,refunded,2,189
190,2024-06-06,16287000.0,completed,3,190
191,2024-11-04,4381000.0,completed,4,191
192,2024-06-30,1578000.0,completed,1,192
193,2024-09-09,6550000.0,completed,3,193
194,2024-09-22,38947000.0,completed,4,194
195,2024-10-18,1037000.0,completed,1,195
196,2024-11-06,1742000.0,failed,4,196
197,2024-10-19,5163000.0,completed,2,197
198,2024-11-11,9866000.0,completed,3,198
199,2024-06-29,6432000.0,completed,3,199
200,2024-10-27,11923000.0,completed,4,200
201,2024-11-10,14493000.0,completed,2,201
202,2024-06-28,80526000.0,completed,3,202
203,2024-09-20,39266000.0,completed,3,203
204,2024-11-08,11637000.0,completed,3,204
205,2024-11-09,834000.0,completed,2,205
206,2024-10-23,2639000.0,completed,3,206
207,2024-10-22,11936000.0,completed,4,207
208,2024-11-10,2565500.0,completed,1,208
209,2024-10-09,3655400.0,completed,4,209
210,2024-11-09,1578000.0,completed,1,210
211,2024-11-02,21381500.0,completed,2,211
212,2024-07-24,4806000.0,completed,2,212
213,2024-10-05,6444000.0,completed,3,213
214,2024-11-10,1928000.0,completed,4,214
215,2024-11-03,5054000.0,refunded,3,215
216,2024-10-14,28793000.0,completed,4,216
217,2024-11-11,9149400.0,completed,2,217
218,2024-11-02,984000.0,completed,3,218
219,2024-09-24,3724000.0,failed,2,219
220,2024-11-08,7086000.0,completed,4,220
221,2024-08-28,7223000.0,completed,4,221
222,2024-10-02,1151000.0,completed,4,222
223,2024-10-23,11789000.0,completed,3,223
224,2024-11-03,12012800.0,completed,3,224
225,2024-10-25,987000.0,completed,3,225
226,2024-11-10,2714000.0,completed,2,226
227,2024-10-10,2053000.0,completed,1,227
228,2024-10-18,30968000.0,completed,2,228
229,2024-10-20,17166000.0,completed,4,229
230,2024-11-08,6912000.0,completed,1,230
231,2024-11-10,3546000.0,completed,4,231
232,2024-11-10,3048000.0,completed,1,232
233,2024-09-30,1811000.0,completed,3,233
234,2024-11-01,6004550.0,completed,1,234
235,2024-05-11,4572000.0,completed,3,235
236,2024-11-01,8920000.0,refunded,2,236
237,2024-08-22,1676000.0,completed,1,237
238,2024-10-24,17692000.0,completed,2,238
239,2024-10-25,5727000.0,completed,4,239
240,2024-10-05,2744000.0,completed,3,240
241,2024-11-06,10516000.0,refunded,4,241
242,2024-05-12,2538000.0,completed,2,242
243,2024-10-24,3135000.0,completed,4,243
244,2024-10-15,6103000.0,completed,4,244
245,2024-10-24,10150000.0,completed,3,245
246,2024-11-07,726000.0,completed,4,246
247,2024-10-22,5626000.0,completed,2,247
248,2024-10-31,2324000.0,completed,4,248
249,2024-10-10,24616300.0,refunded,3,249
250,2024-11-08,2182000.0,completed,4,250
251,2024-10-01,4623900.0,completed,1,251
252,2024-04-05,9111200.0,completed,1,252
253,2024-09-23,7243800.0,completed,3,253
254,2024-10-16,21211000.0,completed,3,254
255,2024-11-02,15138000.0,completed,4,255
256,2024-11-09,4170000.0,failed,1,256
257,2024-10-16,48105000.0,failed,1,257
258,2024-10-11,1564000.0,completed,1,258
259,2024-09-10,5499000.0,completed,2,259
260,2024-11-08,1329000.0,completed,3,260
261,2024-10-22,3063000.0,completed,3,261
262,2024-07-26,1401000.0,completed,1,262
263,2024-07-17,5588000.0,completed,1,263
264,2024-11-05,12649000.0,completed,4,264
265,2024-07-02,526000.0,failed,3,265
266,2024-04-03,11794000.0,completed,4,266
267,2024-11-05,5054000.0,completed,3,267
268,2024-11-09,15958500.0,completed,4,268
269,2024-09-28,7163000.0,completed,4,269
270,2024-11-05,2277000.0,completed,1,270
271,2024-10-23,2104000.0,completed,2,271
272,2024-08-09,1052000.0,completed,4,272
273,2024-10-29,9216350.0,completed,1,273
