discount_id,name,discount_percent,date_created,start_date,end_date,in_use,product_id,vendor_id
0,flash sale,8,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,109289,2
1,sale,10,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,143523,2
2,sale,5,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,188215,1
3,sale,8,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,170001,2
4,flash sale,8,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,175220,1
5,sale,10,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,211751,1
6,flash sale,4,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,88994,1
7,flash sale,3,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,24071,2
8,sale,6,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,234812,2
9,sale,2,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,132969,1
10,sale,4,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,377143,1
11,sale,5,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,266753,1
12,sale,8,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,205739,2
13,flash sale,4,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,89828,1
14,sale,4,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,194808,2
15,flash sale,7,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,125502,1
16,sale,9,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,44437,1
17,sale,5,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,227741,2
18,flash sale,7,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,288260,1
19,flash sale,4,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,19648,2
20,sale,7,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,242894,2
21,flash sale,2,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,255670,2
22,flash sale,3,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,140269,1
23,sale,6,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,260103,2
24,flash sale,9,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,152023,1
25,sale,7,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,167300,1
26,sale,4,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,110504,1
27,flash sale,10,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,165482,2
28,flash sale,4,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,145984,2
29,sale,9,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,227386,2
30,flash sale,9,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,200746,2
31,sale,6,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,125435,1
32,sale,2,2024-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,True,135860,2
